Group ,Watch,Dominant,Subordinate,Interaction,,
SY1_NE,1,BGY,GBGY,D,,
SY1_NE,4,WRRW,/Y,D,,
SY1_NE,4,GBGY,/Y,C,,
SY1_NE,4,WRRW,GBGY,D,,
SY1_NE,4,GBGY,/G,D,,
SY1_NE,4,GBGY,/G,D,,
SY1_NE,4,GBGY,/G,D,,
SY1_NE,4,/G,/B,D,,
SY1_NE,5,WRRW,GBGY,D,,
SY1_NE,6,WRRW,GBGY,D,,
SY1_NE,6,WRRW,GBGY,D,,
SY1_NE,6,WRRW,/B,D,,
SY1_NE,8,WRRW,WRYB,D,,
SY1_NE,8,WRRW,WRYB,D,,
SY1_NE,8,WRYB,/Y,P,,
SY1_NE,8,WRYB,/Y,D,,
SY1_NE,8,WRRW,GBGY,D,,
SY1_NE,8,GBGY,WRRW,D,,
SY1_NE,8,GBGY,/B,D,,
SY1_NE,8,GBGY,/B,C,,
SY1_NE,9,WRRW,/Y,D,,
SY1_NE,9,WRRW,/B,D,,
SY1_NE,10,WRRW,BG/Y,D,,
SY1_NE,10,WRRW,/Y,D,,
W_camp_C,UNK,YRYG,BGBW,D,,
W_camp_C,UNK,YRYG,BGBW,B,,
W_camp_C,UNK,YRYG,BGBW,B,,
W_camp_C,UNK,YRYG,BGBW,B,,
W_camp_C,UNK,YRYG,BGBW,B,,
W_camp_C,UNK,BGBW,YBWN,D,,
W_camp_C,UNK,BGBW,YBWN,C,,
W_camp_C,UNK,BGBW,YBWN,C,,
W_camp_C,UNK,YRYG,WBBB,B,,
W_camp_C,UNK,BGBW,WBBB,D,,
W_camp_C,UNK,BGBW,WBBB,B,,
W_camp_C,UNK,YBWN,WBBB,D,,
W_camp_C,UNK,BGBW,YBWN,D,,
W_camp_C,UNK,BGBW,YBWN,D,,
W_camp_C,UNK,WBBB,YBWN,D,,
W_camp_C,UNK,WBBB,YBWN,D,,
W_camp_C,UNK,YYYN,WBBB,D,,
W_camp_C,UNK,YRYG,WBBB,D,,
W_camp_C,UNK,YRYG,YYYN,B,,
W_camp_C,UNK,WBBB,YYYN,D,,
W_camp_C,UNK,BGBW,YYYN,B,,
W_camp_C,UNK,YRYG,WBBB,D,,
W_camp_C,UNK,YRYG,WBBB,B,,
W_camp_C,UNK,YRYG,WBBB,B,,
W_camp_C,UNK,YRYG,BGBW,D,,
W_camp_C,UNK,YRYG,BGBW,B,,
W_camp_C,UNK,YRYG,BGBW,B,,
W_camp_C,UNK,YRYG,BGBW,B,,
W_camp_C,UNK,YRYG,YYYN,P,,
W_camp_C,UNK,YRYG,YBWN,D,,
W_camp_C,UNK,BGBW,YBWN,D,,
W_camp_C,UNK,YBWN,YYYN,D,,
W_camp_C,UNK,WBBB,RNYN,P,,
W_camp_C,UNK,BGBW,YYYN,D,,
W_camp_C,UNK,YRYG,WBBB,D,,
W_camp_C,UNK,YRYG,YBWN,B,,
W_camp_C,UNK,YRYG,BGBW,C,,
W_camp_C,UNK,YRYG,BGBW,B,,
W_camp_C,UNK,YRYG,BGBW,B,,
W_camp_C,UNK,YRYG,YYYN,B,,
W_camp_C,UNK,BGBW,YBWN,C,,
W_camp_C,UNK,BGBW,YBWN,C,,
W_camp_C,UNK,BGBW,WBBB,D,,
W_camp_C,UNK,BGBW,WBBB,C,,
